loss,params,iteration,accuracy,f1,precision,recall
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 14}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 100, 'learning_rate': 0.001121452119740134, 'optimizer': 'Adam', 'use_batch_norm': False}",1.583,1.7226,24,0.9032,0.9052,0.9032,0.9028
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 10}, {'filter3': 1})}, 'dropout': 0.25, 'filters': 150, 'learning_rate': 0.0018158831528656421, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6179,1.7111,16,0.8568,0.8645,0.8568,0.8576
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 12}, {'filter3': 3})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.001289092117292706, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6163,1.72,21,0.8632,0.8772,0.8632,0.8675
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 10},)}, 'dropout': 0.4, 'filters': 150, 'learning_rate': 0.0016516445875725378, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6311,1.7484,23,0.7895,0.8038,0.7895,0.7937
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 11}, {'filter3': 6})}, 'dropout': 0.15, 'filters': 150, 'learning_rate': 0.0017186016024497916, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5739,1.7222,23,0.88,0.8796,0.88,0.8782
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 1}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.002938727693010613, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5845,1.681,21,0.8589,0.869,0.8589,0.8608
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 6}, {'filter2': 4})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.0030022614335968455, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5905,1.7048,19,0.8589,0.8638,0.8589,0.8599
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 1}, {'filter3': 1})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.002636013223193594, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.8262,1.8615,24,0.5958,0.4717,0.5958,0.5167
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 2}, {'filter3': 3})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0028591912516592, 'optimizer': 'Adam', 'use_batch_norm': False}",1.7371,1.8222,23,0.7705,0.6742,0.7705,0.7147
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 3}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.002406376340305703, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6641,1.7633,21,0.8168,0.7737,0.8168,0.7921
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 2}, {'filter3': 2})}, 'dropout': 0.3, 'filters': 200, 'learning_rate': 0.0018683769344771224, 'optimizer': 'Adam', 'use_batch_norm': True}",2.0872,2.106,23,0.5768,0.3703,0.5768,0.4449
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 1},)}, 'dropout': 0.35, 'filters': 200, 'learning_rate': 0.001216659849726057, 'optimizer': 'Adam', 'use_batch_norm': False}",1.741,1.7734,23,0.7979,0.8113,0.7979,0.801
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 1}, {'filter3': 4})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.0035064942339817647, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6783,1.7635,16,0.8105,0.7691,0.8105,0.7851
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 2}, {'filter3': 1})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.001389106079289843, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6181,1.6971,23,0.8568,0.8629,0.8568,0.8583
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 3}, {'filter2': 1})}, 'dropout': 0, 'filters': 200, 'learning_rate': 0.0021230047527871334, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.6059,1.7005,19,0.8737,0.8728,0.8737,0.8723
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 1}, {'filter3': 3})}, 'dropout': 0.1, 'filters': 200, 'learning_rate': 0.002562248378994304, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6078,1.6999,19,0.8421,0.8607,0.8421,0.8466
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 1}, {'filter3': 4})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.0015907149873624568, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5898,1.712,23,0.8842,0.8876,0.8842,0.8831
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 4}, {'filter3': 5})}, 'dropout': 0.25, 'filters': 200, 'learning_rate': 0.0023455825020781847, 'optimizer': 'Adam', 'use_batch_norm': True}",2.1769,2.204,23,0.1853,0.0434,0.1853,0.0692
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 1}, {'filter2': 3}, {'filter3': 4})}, 'dropout': 0.5, 'filters': 200, 'learning_rate': 0.0033828880207603758, 'optimizer': 'Adam', 'use_batch_norm': False}",1.634,1.7184,24,0.8737,0.8827,0.8737,0.8754
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 3}, {'filter3': 2})}, 'dropout': 0.05, 'filters': 200, 'learning_rate': 0.001960330982335867, 'optimizer': 'Adam', 'use_batch_norm': False}",1.598,1.7025,17,0.8379,0.8471,0.8379,0.8395
"{'conv_layers': {'conv_layers': 1, 'filter_sizes': ({'filter1': 2},)}, 'dropout': 0.4, 'filters': 200, 'learning_rate': 0.0021315692145328895, 'optimizer': 'RMSprop', 'use_batch_norm': False}",1.698,1.7541,17,0.8189,0.8345,0.8189,0.8214
"{'conv_layers': {'conv_layers': 2, 'filter_sizes': ({'filter1': 12}, {'filter2': 12})}, 'dropout': 0.15, 'filters': 200, 'learning_rate': 0.0029855784229774807, 'optimizer': 'Adam', 'use_batch_norm': False}",1.5668,1.7056,20,0.84,0.8461,0.84,0.8395
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 3}, {'filter2': 2}, {'filter3': 3})}, 'dropout': 0.2, 'filters': 200, 'learning_rate': 0.001511366162763994, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6248,1.6965,18,0.8568,0.8646,0.8568,0.858
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 2}, {'filter2': 5}, {'filter3': 5})}, 'dropout': 0.45, 'filters': 200, 'learning_rate': 0.0010127308273751216, 'optimizer': 'Adam', 'use_batch_norm': False}",1.6555,1.7161,17,0.8358,0.8434,0.8358,0.8351
"{'conv_layers': {'conv_layers': 3, 'filter_sizes': ({'filter1': 4}, {'filter2': 2}, {'filter3': 5})}, 'dropout': 0.05, 'filters': 250, 'learning_rate': 0.0027007923262786044, 'optimizer': 'Adam', 'use_batch_norm': True}",2.3365,2.3396,14,0.2611,0.084,0.2611,0.1225
