"","params","iteration","train_loss","val_accuracy","val_loss","val_f1","val_precision","val_recall"
"111","{'dropout': 0.13613933006595866, 'hidden_units': 64, 'learning_rate': 0.0035322534983905952, 'optimizer': 'RMSprop', 'use_batch_norm': True}",15,1.6028,0.8386,1.7118,0.843,0.8599,0.8386
"112","{'dropout': 0.401867063624439, 'hidden_units': 512, 'learning_rate': 0.002634040103483615, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.8548,0.7676,1.8866,0.7401,0.722,0.7676
"113","{'dropout': 0.17625414218275232, 'hidden_units': 128, 'learning_rate': 0.01898017918985928, 'optimizer': 'RMSprop', 'use_batch_norm': True}",20,1.6092,0.8464,1.7276,0.8478,0.8572,0.8464
"114","{'dropout': 0.08840325858588888, 'hidden_units': 512, 'learning_rate': 0.0019376858549735479, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5664,0.8691,1.6902,0.871,0.879,0.8691
"115","{'dropout': 0.231263504270104, 'hidden_units': 512, 'learning_rate': 0.0013221427577443936, 'optimizer': 'RMSprop', 'use_batch_norm': True}",22,1.5746,0.8625,1.7021,0.8633,0.866,0.8625
"116","{'dropout': 0.0011894661242256993, 'hidden_units': 256, 'learning_rate': 0.002813751544156866, 'optimizer': 'Adam', 'use_batch_norm': True}",11,1.5868,0.8436,1.7121,0.8443,0.8519,0.8436
"117","{'dropout': 0.018978299231108615, 'hidden_units': 512, 'learning_rate': 0.001575626711935126, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.6962,0.8292,1.7714,0.809,0.7927,0.8292
"118","{'dropout': 0.1551358181394111, 'hidden_units': 64, 'learning_rate': 0.001397093547675768, 'optimizer': 'RMSprop', 'use_batch_norm': True}",11,1.6219,0.8508,1.7189,0.8509,0.8577,0.8508
"119","{'dropout': 0.06147288956981102, 'hidden_units': 512, 'learning_rate': 0.0022933248511251823, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5736,0.8708,1.6984,0.8715,0.8751,0.8708
"120","{'dropout': 0.16966722025517528, 'hidden_units': 128, 'learning_rate': 0.0020931415541216086, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5841,0.8486,1.7168,0.8505,0.8569,0.8486
"121","{'dropout': 0.10283499224237498, 'hidden_units': 512, 'learning_rate': 0.004846553605725427, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5749,0.8536,1.6995,0.8545,0.8628,0.8536
"122","{'dropout': 0.2718188671849487, 'hidden_units': 512, 'learning_rate': 0.0012425528249404895, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.63,0.8575,1.6982,0.8587,0.8634,0.8575
"123","{'dropout': 0.07718788336380478, 'hidden_units': 256, 'learning_rate': 0.001676036749043727, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5762,0.8641,1.697,0.8656,0.876,0.8641
"124","{'dropout': 0.04637016600602958, 'hidden_units': 512, 'learning_rate': 0.015145855666363912, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.6243,0.8497,1.7024,0.8525,0.8628,0.8497
"125","{'dropout': 0.2052658703167411, 'hidden_units': 64, 'learning_rate': 0.001449529321384682, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.6077,0.8464,1.7243,0.8478,0.854,0.8464
"126","{'dropout': 0.0018609760120016326, 'hidden_units': 512, 'learning_rate': 0.0018103852095095545, 'optimizer': 'RMSprop', 'use_batch_norm': True}",8,1.597,0.8713,1.6959,0.8721,0.8747,0.8713
"127","{'dropout': 0.4595045474087042, 'hidden_units': 128, 'learning_rate': 0.0037340672644179634, 'optimizer': 'Adam', 'use_batch_norm': False}",16,1.7261,0.797,1.7505,0.7997,0.8117,0.797
"128","{'dropout': 0.0319230967087759, 'hidden_units': 512, 'learning_rate': 0.002516950328757609, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.577,0.8747,1.6909,0.875,0.8766,0.8747
"129","{'dropout': 0.053545808050353215, 'hidden_units': 512, 'learning_rate': 0.001018694491794605, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5667,0.8713,1.6997,0.8726,0.8781,0.8713
