params,iteration,train_loss,val_accuracy,val_loss,val_f1,val_precision,val_recall
"{'bidirectional': True, 'dropout_prop': 0.13127485211114714, 'learning_rate': 0.0014013454928155703, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': True}",8,0.3498,0.906,0.2218,0.9199,0.9062,0.9069
"{'bidirectional': False, 'dropout_prop': 0.3051979873913875, 'learning_rate': 0.016802211363269443, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,1.546,0.523,1.4875,0.3393,0.5234,0.3845
"{'bidirectional': True, 'dropout_prop': 0.0741759587921952, 'learning_rate': 0.009482691376718533, 'nb_lstm_layers': 1, 'nb_lstm_units': 128, 'sent_length': 15, 'use_class_weights': False}",9,0.035,0.984,0.0394,0.9868,0.9844,0.9847
"{'bidirectional': True, 'dropout_prop': 0.16943298596402456, 'learning_rate': 0.007123902352094721, 'nb_lstm_layers': 3, 'nb_lstm_units': 64, 'sent_length': 12, 'use_class_weights': False}",8,0.2476,0.914,0.3036,0.9245,0.9141,0.9143
"{'bidirectional': True, 'dropout_prop': 0.08944454527708441, 'learning_rate': 0.008507721332766269, 'nb_lstm_layers': 1, 'nb_lstm_units': 64, 'sent_length': 10, 'use_class_weights': True}",9,0.0887,0.977,0.0712,0.9779,0.9766,0.9766
"{'bidirectional': True, 'dropout_prop': 0.1333924581315253, 'learning_rate': 0.015031840808819417, 'nb_lstm_layers': 2, 'nb_lstm_units': 64, 'sent_length': 15, 'use_class_weights': False}",9,0.0832,0.961,0.1106,0.9631,0.9609,0.9604
"{'bidirectional': True, 'dropout_prop': 0.0662002428965863, 'learning_rate': 0.02650261516263746, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.047,0.992,0.0514,0.9928,0.9922,0.9922
"{'bidirectional': True, 'dropout_prop': 0.22321281284081715, 'learning_rate': 0.016393787448415808, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0726,0.992,0.0417,0.9932,0.9922,0.9923
"{'bidirectional': True, 'dropout_prop': 0.18285998544366866, 'learning_rate': 0.011201771929310324, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0739,0.977,0.0691,0.9766,0.9766,0.9762
"{'bidirectional': True, 'dropout_prop': 0.05415530495646359, 'learning_rate': 0.01900008878241016, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",8,0.0388,0.992,0.0217,0.9928,0.9922,0.9923
"{'bidirectional': True, 'dropout_prop': 0.027027990484211235, 'learning_rate': 0.018404267257283446, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",9,0.0315,0.984,0.0511,0.9862,0.9844,0.9847
"{'bidirectional': True, 'dropout_prop': 0.1612968922027294, 'learning_rate': 0.02973222852217508, 'nb_lstm_layers': 1, 'nb_lstm_units': 32, 'sent_length': 15, 'use_class_weights': False}",4,0.1375,0.992,0.0558,0.9928,0.9922,0.9921
